"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1258","User login with wrong email or password","LMS system","Fri Jan 09 14:53:54 UTC 2026","passed","Fri Jan 09 14:53:55 UTC 2026","Authorization","Authentication","",""
"","2223","Create course","LMS system","Fri Jan 09 14:53:59 UTC 2026","passed","Fri Jan 09 14:54:01 UTC 2026","Courses","Courses","",""
"","1525","Check displaying of dashboard page","LMS system","Fri Jan 09 14:54:01 UTC 2026","passed","Fri Jan 09 14:54:02 UTC 2026","Dashboard","Dashboard","",""
"","986","User login with wrong email or password","LMS system","Fri Jan 09 14:53:57 UTC 2026","passed","Fri Jan 09 14:53:58 UTC 2026","Authorization","Authentication","",""
"","1022","Navigation from login page to registration page","LMS system","Fri Jan 09 14:53:56 UTC 2026","passed","Fri Jan 09 14:53:57 UTC 2026","Authorization","Authentication","",""
"","939","Check displaying of empty courses list","LMS system","Fri Jan 09 14:53:59 UTC 2026","passed","Fri Jan 09 14:54:00 UTC 2026","Courses","Courses","",""
"","1288","Registration with correct email, username and password","LMS system","Fri Jan 09 14:53:57 UTC 2026","passed","Fri Jan 09 14:53:58 UTC 2026","Registration","Authentication","",""
"","2335","test_edit_course[chromium]","LMS system","Fri Jan 09 14:54:02 UTC 2026","passed","Fri Jan 09 14:54:04 UTC 2026","Courses","Courses","",""
"","2241","User login with correct email and password","LMS system","Fri Jan 09 14:53:54 UTC 2026","passed","Fri Jan 09 14:53:56 UTC 2026","Authorization","Authentication","",""
