"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","981","Check displaying of empty courses list","LMS system","Fri Jan 09 15:19:34 UTC 2026","passed","Fri Jan 09 15:19:35 UTC 2026","Courses","Courses","",""
"","2122","User login with correct email and password","LMS system","Fri Jan 09 15:19:28 UTC 2026","passed","Fri Jan 09 15:19:31 UTC 2026","Authorization","Authentication","",""
"","2525","test_edit_course[chromium]","LMS system","Fri Jan 09 15:19:36 UTC 2026","passed","Fri Jan 09 15:19:39 UTC 2026","Courses","Courses","",""
"","949","User login with wrong email or password","LMS system","Fri Jan 09 15:19:31 UTC 2026","passed","Fri Jan 09 15:19:32 UTC 2026","Authorization","Authentication","",""
"","1202","User login with wrong email or password","LMS system","Fri Jan 09 15:19:28 UTC 2026","passed","Fri Jan 09 15:19:30 UTC 2026","Authorization","Authentication","",""
"","2172","Create course","LMS system","Fri Jan 09 15:19:33 UTC 2026","passed","Fri Jan 09 15:19:36 UTC 2026","Courses","Courses","",""
"","1001","Navigation from login page to registration page","LMS system","Fri Jan 09 15:19:30 UTC 2026","passed","Fri Jan 09 15:19:31 UTC 2026","Authorization","Authentication","",""
"","1557","Check displaying of dashboard page","LMS system","Fri Jan 09 15:19:35 UTC 2026","passed","Fri Jan 09 15:19:37 UTC 2026","Dashboard","Dashboard","",""
"","1374","Registration with correct email, username and password","LMS system","Fri Jan 09 15:19:31 UTC 2026","passed","Fri Jan 09 15:19:33 UTC 2026","Registration","Authentication","",""
