"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1034","Navigation from login page to registration page","LMS system","Fri Jan 09 16:04:28 UTC 2026","passed","Fri Jan 09 16:04:29 UTC 2026","Authorization","Authentication","",""
"","1001","User login with wrong email or password","LMS system","Fri Jan 09 16:04:29 UTC 2026","passed","Fri Jan 09 16:04:30 UTC 2026","Authorization","Authentication","",""
"","2207","Create course","LMS system","Fri Jan 09 16:04:31 UTC 2026","passed","Fri Jan 09 16:04:33 UTC 2026","Courses","Courses","",""
"","1630","Check displaying of dashboard page","LMS system","Fri Jan 09 16:04:33 UTC 2026","passed","Fri Jan 09 16:04:34 UTC 2026","Dashboard","Dashboard","",""
"","1290","User login with wrong email or password","LMS system","Fri Jan 09 16:04:26 UTC 2026","passed","Fri Jan 09 16:04:27 UTC 2026","Authorization","Authentication","",""
"","1326","Registration with correct email, username and password","LMS system","Fri Jan 09 16:04:29 UTC 2026","passed","Fri Jan 09 16:04:30 UTC 2026","Registration","Authentication","",""
"","894","Check displaying of empty courses list","LMS system","Fri Jan 09 16:04:31 UTC 2026","passed","Fri Jan 09 16:04:32 UTC 2026","Courses","Courses","",""
"","2243","User login with correct email and password","LMS system","Fri Jan 09 16:04:26 UTC 2026","passed","Fri Jan 09 16:04:28 UTC 2026","Authorization","Authentication","",""
"","2360","test_edit_course[chromium]","LMS system","Fri Jan 09 16:04:34 UTC 2026","passed","Fri Jan 09 16:04:36 UTC 2026","Courses","Courses","",""
